Frames	sa_pro	sa_A	sa_C	sa_buried
1089	12808.93164	12960.50391	347.0183411	498.5906067
1090	12747.99023	12895.11621	345.7494507	492.8754272
1091	12817.68555	12977.06836	354.979187	514.3619995
1092	12918.125	13018.79492	361.3701172	462.0400391
1093	12879.31836	13018.94531	356.3850403	496.0119934
1094	13058.68555	13200.01855	353.7589417	495.0919495
1095	12820.96777	12980.08691	352.2660522	511.3851929
1096	12898.00684	13059.86719	354.894928	516.7552795
1097	13033.22559	13191.44922	347.2015686	505.4252014
1098	12879.08887	13029.82227	339.0047913	489.7381897
1099	13095.05566	13170.54395	340.994812	416.4830933
1100	13173.50391	13293.36621	338.8143005	458.6766052
1101	12901.39453	12987.63281	323.921875	410.1601563
1102	12836.55566	12938.89355	335.3095093	437.6473999
1103	12893.72656	13037.39648	356.4840698	500.1539917
1104	12718.44336	12860.11035	342.2541504	483.9211426
1105	12542.91895	12676.54199	348.1251831	481.74823
1106	12688.87793	12849.22949	345.3002319	505.6517944
1107	12936.77441	13092.10059	345.722229	501.0484009
1108	12676.55273	12838.21777	349.2159729	510.881012
1109	12826.55957	12964.4668	353.8145142	491.7217407
1110	12891.85938	13040.39746	347.3666382	495.9047241
1111	12778.1582	12890.25586	349.1940613	461.2917175
1112	12950.93945	13090.13574	349.6602783	488.8565674
1113	12765.90527	12911.62012	345.5865479	491.3013916
1114	12588.22363	12692.0625	342.815155	446.6540222
1115	12763.08691	12851.2666	355.3880615	443.567749
1116	12760	12883.73047	347.0796814	470.8101501
1117	13080.8252	13214.51758	342.9520569	476.6444397
1118	12855.21484	12967.99316	347.2756653	460.0539856
1119	12722.63281	12871.44336	341.5152893	490.3258362
1120	12935.69238	13033.90918	341.2644348	439.4812317
1121	12733.43457	12866.43164	342.1448364	475.1419067
1122	12507.52051	12643.18555	352.0157471	487.6807861
1123	12802.69336	12869.18262	355.5946655	422.0839233
1124	12911.7832	13023.25586	342.8694763	454.3421326
1125	12723.96387	12854.05859	355.9962769	486.0910034
1126	12625.91992	12724.46973	343.7762146	442.3260193
1127	12496.48438	12621.62598	350.8761902	476.0177917
1128	12681.90918	12808.83301	345.3150635	472.2388916
1129	12644.31445	12747.15234	357.0671692	459.9050598
1130	12719.81641	12831.08301	348.8223572	460.0889587
1131	12817.00195	12907.60742	365.5836487	456.1891174
1132	12575.80273	12723.25879	350.9654541	498.4215088
1133	12488.91992	12628.50684	343.9038696	483.4907837
1134	12476.99707	12595.54883	351.6299744	470.1817322
1135	12720.53711	12844.98828	344.808136	469.2593079
1136	12740.94727	12880.61328	352.7400818	492.4060974
1137	12668.38672	12803.47949	338.6817932	473.7745667
1138	12569.01074	12676.1582	350.6308899	457.7783508
1139	12649.7793	12781.10156	344.9396057	476.2618713
1140	12608.9834	12715.62305	342.3333435	448.9729919
1141	12522.43848	12679.20605	354.6599426	511.4275208
1142	12553.20898	12699.95898	342.0898132	488.8398132
1143	12677.42773	12787.52148	347.6340942	457.7278442
1144	12658.44629	12769.65137	351.9310303	463.1361084
1145	12726.88477	12854.08105	345.3935242	472.5898132
1146	12694.18652	12815.13086	355.644165	476.588501
1147	12396.40625	12522.91895	358.1425781	484.6552734
1148	12682.53809	12822.16992	345.9059448	485.5377808
1149	12619.40039	12700.66797	332.9794617	414.2470398
1150	12561.37012	12658.54395	337.7426147	434.9164429
1151	12604.06641	12718.63086	333.1312561	447.6957092
1152	12550.98242	12650.12305	331.2331848	430.3738098
1153	12627.3584	12725.92285	333.4604797	432.0249329
1154	12767.7041	12857.93652	337.0931702	427.325592
1155	12712.73633	12848.01465	357.9857788	493.2640991
1156	12728.65039	12849.92578	338.1447449	459.4201355
1157	12519.05664	12624.09863	353.3206482	458.3626404
1158	12491.94238	12599.72363	356.9198914	464.7011414
1159	12914.60547	13004.79004	359.4306946	449.6152649
1160	12689.87598	12847.92285	341.9050903	499.9519653
1161	12559.80664	12681.34277	327.2456665	448.7817993
1162	12775.09082	12868.2334	331.822052	424.9646301
1163	12707.06348	12840.79883	332.9982605	466.7336121
1164	12655.52637	12760.62988	334.5653076	439.6688232
1165	12541.37891	12645.6748	333.1006165	437.3965149
1166	12609.25195	12712.26563	343.5015564	446.5152283
1167	12612.12012	12770.28613	341.1764526	499.3424683
1168	12648.5918	12774.89453	336.3122559	462.6149902
1169	12305.97461	12450.78711	333.9621277	478.7746277
1170	12550.53027	12645.44336	335.0460815	429.9591675
1171	12277.36914	12358.65137	331.690155	412.9723816
1172	12557.56445	12633.41211	333.5949402	409.4425964
1173	12626.47363	12715.96289	334.0000916	423.4893494
1174	12704.43848	12795.84473	352.20047	443.60672
1175	12608.97754	12736.78125	340.9754639	468.7791748
1176	12744.11328	12857.78125	362.0396729	475.7076416
